📊 参加人数,
申込み件数,"=COUNTA(シート1!B:B)-1"
大人,"=SUM(シート1!E:E)"
小中学生,"=SUM(シート1!F:F)"
幼児,"=SUM(シート1!G:G)"
合計参加人数,"=B3+B4+B5"
残り枠（定員24名）,"=24-B6"
,
🚗 交通手段,
自家用車,"=COUNTIF(シート1!H:H,""自家用車"")"
電車,"=COUNTIF(シート1!H:H,""電車"")"
,
🚉 桑名駅ピックアップ,
希望する,"=COUNTIF(シート1!I:I,""希望する"")"
不要,"=COUNTIF(シート1!I:I,""不要"")"
,
⚠️ アレルギー,
あり,"=COUNTIF(シート1!J:J,""あり"")"
なし,"=COUNTIF(シート1!J:J,""なし"")"
※詳細は回答シートのK列を確認,
,
🍺 お酒,
飲む,"=COUNTIF(シート1!M:M,""飲む"")"
飲まない,"=COUNTIF(シート1!M:M,""飲まない"")"
,
🤝 手伝い,
買い出し,"=COUNTIF(シート1!N:N,""*買い出し*"")"
設営,"=COUNTIF(シート1!N:N,""*設営*"")"
片付け,"=COUNTIF(シート1!N:N,""*片付け*"")"
参加のみ,"=COUNTIF(シート1!N:N,""*参加のみ*"")"
,
📷 写真・動画共有,
OK,"=COUNTIF(シート1!P:P,""OK"")"
NG,"=COUNTIF(シート1!P:P,""NG"")"
